,Gene_set,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,Genes,direction,KEGG_Pathway,KEGG_Pathway_Name,contrast,strain
77,gs_ind_0,ko01100,115/683,0.0008259340446785227,0.011645670029967168,1.5009513626617461,10.655247174417964,ko:K00040;ko:K01714;ko:K00101;ko:K13481;ko:K03782;ko:K00681;ko:K00239;ko:K01194;ko:K00335;ko:K02822;ko:K01952;ko:K01785;ko:K01470;ko:K01805;ko:K00849;ko:K09758;ko:K02821;ko:K01686;ko:K00700;ko:K03150;ko:K00705;ko:K01903;ko:K01193;ko:K01485;ko:K01941;ko:K00690;ko:K01176;ko:K12373;ko:K09018;ko:K01468;ko:K01895;ko:K16840;ko:K01649;ko:K02796;ko:K00336;ko:K01813;ko:K01061;ko:K01647;ko:K00242;ko:K03147;ko:K01190;ko:K09471;ko:K00854;ko:K00656;ko:K00031;ko:K01784;ko:K01130;ko:K00005;ko:K01745;ko:K06447;ko:K01782;ko:K01487;ko:K01042;ko:K00059;ko:K00632;ko:K00135;ko:K00688;ko:K03809;ko:K01902;ko:K00240;ko:K01706;ko:K02783;ko:K00362;ko:K09024;ko:K00851;ko:K00864;ko:K03735;ko:K00615;ko:K09020;ko:K01610;ko:K01685;ko:K00839;ko:K00164;ko:K00138;ko:K05349;ko:K00847;ko:K00975;ko:K07248;ko:K00697;ko:K01629;ko:K01484;ko:K00873;ko:K09019;ko:K00616;ko:K00024;ko:K18333;ko:K00965;ko:K00658;ko:K01897;ko:K01804;ko:K13482;ko:K02083;ko:K00703;ko:K07046;ko:K00134;ko:K01812;ko:K00372;ko:K03781;ko:K07407;ko:K16839;ko:K06445;ko:K00337;ko:K03777;ko:K00853;ko:K01681;ko:K01708;ko:K06151;ko:K03736;ko:K03149;ko:K00799;ko:K16841;ko:K11177;ko:K04072;ko:K00244;ko:K01712,up,ko01100,Metabolic pathways,1_vs_0,Rahnella
80,gs_ind_0,ko01200,21/83,0.0018404445012534254,0.02359115224333936,2.3410077279752706,14.743077110859033,ko:K01647;ko:K01902;ko:K00240;ko:K00242;ko:K00851;ko:K00134;ko:K00615;ko:K03781;ko:K00239;ko:K01610;ko:K00164;ko:K00031;ko:K01681;ko:K00873;ko:K00616;ko:K01903;ko:K01782;ko:K00024;ko:K00658;ko:K01895;ko:K00244,up,ko01200,Carbon metabolism,1_vs_0,Rahnella
79,gs_ind_0,ko01120,48/188,1.57991479480338e-06,0.0001113839930336383,2.4722533951858274,33.02470607766209,ko:K13482;ko:K01813;ko:K01061;ko:K02083;ko:K01647;ko:K01902;ko:K00240;ko:K00242;ko:K01085;ko:K01714;ko:K00362;ko:K13481;ko:K00656;ko:K07046;ko:K00851;ko:K00134;ko:K00615;ko:K00372;ko:K01621;ko:K00239;ko:K01610;ko:K16839;ko:K00164;ko:K00138;ko:K02822;ko:K07248;ko:K03777;ko:K01785;ko:K01629;ko:K00031;ko:K01681;ko:K00873;ko:K02821;ko:K06151;ko:K00616;ko:K01903;ko:K01782;ko:K00024;ko:K11177;ko:K16841;ko:K18333;ko:K00658;ko:K04072;ko:K01895;ko:K00244;ko:K16840;ko:K00632;ko:K00135,up,ko01120,Microbial metabolism in diverse environments,1_vs_0,Rahnella
92,gs_ind_0,ko02010,34/118,3.5197498757387446e-06,0.00012407118311979075,2.8658777120315584,35.9871721376785,ko:K09970;ko:K10017;ko:K15577;ko:K11963;ko:K01995;ko:K10543;ko:K15580;ko:K10110;ko:K11960;ko:K10560;ko:K10537;ko:K02040;ko:K01999;ko:K12541;ko:K02010;ko:K10002;ko:K10111;ko:K13890;ko:K10541;ko:K10555;ko:K05845;ko:K11962;ko:K10001;ko:K10558;ko:K01998;ko:K06726;ko:K15578;ko:K15772;ko:K13889;ko:K11073;ko:K11959;ko:K13891;ko:K02012;ko:K01997,up,ko02010,ABC transporters,1_vs_0,Rahnella
94,gs_ind_0,ko02024,19/56,4.837809638802473e-05,0.0013642623181422972,3.5569278033794163,35.34328293700399,ko:K02035;ko:K02055;ko:K02033;ko:K01995;ko:K14051;ko:K15580;ko:K01999;ko:K02054;ko:K02032;ko:K02031;ko:K02034;ko:K10555;ko:K07781;ko:K10558;ko:K01998;ko:K07782;ko:K01897;ko:K11530;ko:K01997,up,ko02024,Quorum sensing,1_vs_0,Rahnella
58,gs_ind_0,ko00720,10/28,0.002033072866529311,0.023888606181719403,3.810083626227124,23.61568663348636,ko:K00024;ko:K00031;ko:K01902;ko:K00240;ko:K00242;ko:K00239;ko:K01681;ko:K01895;ko:K00244;ko:K01903,up,ko00720,Other carbon fixation pathways,1_vs_0,Rahnella
3,gs_ind_0,ko00040,9/25,0.003196676161508448,0.0321950956266208,3.8569751162895725,22.16080481085539,ko:K01812;ko:K00040;ko:K01629;ko:K01804;ko:K01805;ko:K00853;ko:K01686;ko:K01685;ko:K00854,up,ko00040,Pentose and glucuronate interconversions,1_vs_0,Rahnella
4,gs_ind_0,ko00051,8/20,0.0025218394201484747,0.027352258326225766,4.549836552748886,27.22061068691679,ko:K07046;ko:K00847;ko:K02796;ko:K01813;ko:K01629;ko:K01805;ko:K18333;ko:K02783,up,ko00051,Fructose and mannose metabolism,1_vs_0,Rahnella
54,gs_ind_0,ko00650,9/21,0.0007470707543209324,0.011645670029967168,5.10026825633383,36.71861963410127,ko:K00656;ko:K01782;ko:K00240;ko:K00242;ko:K00239;ko:K04072;ko:K00244;ko:K00135;ko:K18009,up,ko00650,Butanoate metabolism,1_vs_0,Rahnella
5,gs_ind_0,ko00052,9/20,0.00048215637328225886,0.009712006947542642,5.546232100045358,42.357917127953705,ko:K01193;ko:K01785;ko:K01784;ko:K00849;ko:K07407;ko:K00965;ko:K01190;ko:K01804;ko:K12308,up,ko00052,Galactose metabolism,1_vs_0,Rahnella
