,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,KEGG_Pathway,KEGG_Pathway_Name,contrast,strain
12,prerank,ko02020,0.4301031311889514,1.7115077000843362,0.001564945226917058,0.04868668064297437,0.39,37/107,14.36%,ko:K02651;ko:K10942;ko:K10943;ko:K03406;ko:K07684;ko:K03408;ko:K07793;ko:K02650;ko:K03415;ko:K01915;ko:K02259;ko:K00626;ko:K03776;ko:K11690;ko:K02283;ko:K00413;ko:K02405;ko:K02556;ko:K14979;ko:K02282;ko:K01991;ko:K03412;ko:K00406;ko:K03413;ko:K11444;ko:K07665;ko:K12510;ko:K08738;ko:K11689;ko:K02398;ko:K00425;ko:K02406;ko:K03407;ko:K00405;ko:K00412;ko:K00426;ko:K00404,ko02020,Two-component system,2_vs_0,Pseudomonas1
13,prerank,ko04714,0.7906164170943636,1.69643091275543,0.00823045267489712,0.04861956867717579,0.436,5/7,13.45%,ko:K02258;ko:K02257;ko:K02259;ko:K00413;ko:K00412,ko04714,Thermogenesis,2_vs_0,Pseudomonas1
14,prerank,ko00195,-0.832190038251433,-1.8815969661747716,0.003992015968063872,0.012136019775518047,0.042,6/8,8.53%,ko:K02112;ko:K02114;ko:K02115;ko:K02110;ko:K02113;ko:K02111,ko00195,Photosynthesis,2_vs_0,Pseudomonas1
15,prerank,ko00550,-0.6681635005108282,-1.9807129883427084,0.0,0.004353137528174952,0.011,9/21,8.91%,ko:K03587;ko:K01928;ko:K03588;ko:K01929;ko:K01000;ko:K02563;ko:K01925;ko:K05837;ko:K01924,ko00550,Peptidoglycan biosynthesis,2_vs_0,Pseudomonas1
16,prerank,ko03010,-0.6258911943360896,-2.393025240524003,0.0,0.0,0.0,30/52,22.99%,ko:K02935;ko:K02954;ko:K02895;ko:K02864;ko:K02931;ko:K02874;ko:K02890;ko:K02878;ko:K02982;ko:K02904;ko:K02961;ko:K02879;ko:K02939;ko:K02956;ko:K02986;ko:K02965;ko:K02907;ko:K02897;ko:K02952;ko:K02892;ko:K02948;ko:K02899;ko:K02992;ko:K02902;ko:K02884;ko:K02963;ko:K02876;ko:K02945;ko:K02887;ko:K02967,ko03010,Ribosome,2_vs_0,Pseudomonas1
0,prerank,ko03070,0.5547984223534603,2.317310634893783,0.0,0.0,0.0,22/42,10.13%,ko:K02458;ko:K02456;ko:K11906;ko:K03227;ko:K03226;ko:K03222;ko:K02459;ko:K02460;ko:K02462;ko:K03224;ko:K11892;ko:K02454;ko:K11907;ko:K11904;ko:K03223;ko:K03219;ko:K03228;ko:K02453;ko:K03230;ko:K11891;ko:K02461;ko:K02457,ko03070,Bacterial secretion system,7_vs_0,Pseudomonas1
1,prerank,ko00364,0.8437021723325104,2.094179633045381,0.0,0.008442677269715045,0.013,7/8,12.17%,ko:K05783;ko:K05550;ko:K20807;ko:K03381;ko:K05549;ko:K01061;ko:K01721,ko00364,Fluorobenzoate degradation,7_vs_0,Pseudomonas1
2,prerank,ko00643,0.8220047606453318,2.063186514996335,0.0028653295128939827,0.006061409321846698,0.014,8/8,17.97%,ko:K20807;ko:K00451;ko:K01426;ko:K01555;ko:K01721;ko:K01502;ko:K01501;ko:K16171,ko00643,Styrene degradation,7_vs_0,Pseudomonas1
3,prerank,ko00362,0.5773252719255493,1.9584854954601807,0.008097165991902834,0.016235917826375085,0.043,10/21,10.69%,ko:K05783;ko:K05550;ko:K01857;ko:K00074;ko:K00449;ko:K03381;ko:K01692;ko:K01607;ko:K00626;ko:K05549,ko00362,Benzoate degradation,7_vs_0,Pseudomonas1
4,prerank,ko00627,0.690240128604216,1.891219541747668,0.005649717514124294,0.024938369781312128,0.086,7/10,13.06%,ko:K20807;ko:K03863;ko:K01692;ko:K15054;ko:K01426;ko:K01721;ko:K01501,ko00627,Aminobenzoate degradation,7_vs_0,Pseudomonas1
